create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
the data import wizard verifies email addresses in the form of #url1#.	der datenimport-assistent überprüft, ob es sich um eine gültige e-mail-adresse im format #url1# handelt.
there are a couple ways to find a question:	es gibt eine reihe von methoden zum auffinden von fragen:
	
allows user to	ermöglicht benutzern diese aufgaben
to use a predefined color theme without customizing it, simply click select this color theme.	wenn sie ein vordefiniertes farbthema ohne anpassungen verwenden möchten, klicken sie einfach auf dieses farbthema auswählen.
the navigation menu shows only the tabs that the admin has included in that community via tabs  pages in the community’s administration settings.	im navigationsmenü werden nur die registerkarten angezeigt, die der administrator in den verwaltungseinstellungen der community über den abschnitt "registerkarten und seiten" zur betreffenden community hinzugefügt hat.
for example, to shorten the number that appears in the widget, select shorten number in the widget properties. check out the unit symbols for shortened numbers.	um beispielsweise die zahl zu kürzen, die im widget angezeigt wird, wählen sie in den widget-eigenschaften die option zahl kürzen aus. prüfen sie die einheitensymbole für die gekürzten zahlen.
28/2/2008 4:30 pm	28/2/2008 4:30 pm
the subflow overlay’s drop-down lists for selecting the referenced flow’s variables are populated with the variables of the selected version of the referenced flow.	die dropdownlisten des subflow-overlay zum auswählen der variablen des referenzierten flow werden mit den variablen der ausgewählten version des referenzierten flow aufgefüllt.
example of a post install script	beispiel für ein post-installations-skript
delete device results	löschen von geräteergebnissen
let’s learn about types of maintenance so you understand why they can be necessary.	erfahren sie mehr über wartungstypen, damit sie wissen, weshalb sie erforderlich sein können.
if you’re using the salesforce tabs + visualforce template, you can add tabs to your community.	wenn sie die vorlage "salesforce-registerkarten und visualforce" verwenden, können sie ihrer community registerkarten hinzufügen.
if the file field is empty (meaning the author didn't upload a file), the link still appears on the published article but has no function. if you do not want the link to appear when the file field is empty, replace click me in the example with the name of the file. for example, {!offer__kav.my_file__name__s}.	wenn das dateifeld leer ist (d. h., der autor hat keine datei hochgeladen), wird der link zwar dennoch für den veröffentlichten artikel angezeigt, er hat jedoch keine funktion. wenn der link bei leerem dateifeld nicht angezeigt werden soll, ersetzen sie den ausdruck click me im vorherigen beispiel durch den namen der datei. beispiel {!offer__kav.my_file__name__s}.
when workflow email alerts approach or exceed certain allocations, salesforce sends a warning email to the default workflow user or—if the default workflow user isn't set—to an active system administrator.	wenn bestimmte zuordnungen für workflow-e-mail-benachrichtigungen erreicht oder überschritten werden, sendet salesforce eine e-mail-warnung an den standardmäßigen workflowbenutzer oder, wenn der standardmäßige workflowbenutzer nicht festgelegt ist, an einen aktiven systemadministrator.
price name	name des preises
filter by performance summary cycle for the required performance summary cycle	filtern nach leistungsübersichtszyklus für den erforderlichen leistungsübersichtszyklus
teammates on your opportunity teams	teammitgliedern in ihren opportunityteams
dashboard properties	dashboard-eigenschaften
ensure that each information type has a corresponding salesforce knowledge article type that matches its structure and content.	stellen sie sicher, dass jeder informationstyp einen entsprechenden salesforce knowledge-artikeltyp aufweist, der dessen struktur und inhalt entspricht.
calculate an sha-256 hash of the plaintext tenant secret.	berechnen sie ein sha-256-hash des nur-text-mandantengeheimnisses.
gives admins the ability to create templated analytics apps for users in their orgs.	ermöglicht administratoren das erstellen von analytics-anwendungen mit vorlagen für benutzer in ihren organisationen.
update your twitter app to use the callback url generated by salesforce as an entry in the twitter app settings.	aktualisieren sie ihre twitter-anwendung so, dass der von salesforce generierte rückmeldungs-url als einstieg in die twitter-anwendungseinstellungen verwendet wird.
forecastingitemcategory—this field indicates which rollup each forecast amount is for: open pipeline, best case forecast, commit forecast, closed only, pipeline, best case, commit, or closed. if you changed the forecast category names, those changes appear in the forecastingitemcategory values.	forecastingitemcategory: dieses feld gibt an, für welches rollup die einzelnen prognosebeträge gelten: "offene pipeline", "maximalwert-prognose", "commit-prognose", "nur geschlossene", "pipeline", "maximalwert", "commit" oder "geschlossen". wenn sie die namen der prognosekategorie geändert haben, werden diese änderungen in den "forecastingitemcategory"-werten angezeigt.
this example assumes that a new customer custom field is on opportunities.	in diesem beispiel wird davon ausgegangen, dass das benutzerdefinierte feld neukunden für opportunities vorhanden ist.
recycle bin displays the recycle bin in the detail view.	papierkorb: zeigt den papierkorb in der detailansicht an.
this related list is not visible unless your administrator has defined and enabled categories.	diese themenliste wird erst sichtbar, wenn ihr administrator kategorien definiert und aktiviert hat.
update your google app to use the callback url generated by salesforce as the google website site url.	aktualisieren sie ihre google-anwendung so, dass der von salesforce generierte rückmeldungs-url als website-url von google fungiert.
